0	1	2

17		117	
19		153	
28		346	
0		139	
10		39	
2		249	
9		1038	
26		639	
31		454	
16		52	
28		999	
41		67	
39		618	
13		20	
30		480	
32		1036	
39		985	
46		477	
49		688	
37		801	
4		799	
9		883	
49		855	
28		784	
31		792	
25		222	
6		465	
49		416	
42		354	
11		427	
15		0	
40		8	
15		234	
32		738	
34		630	
19		95	
19		706	
37		226	
37		451	
3		663	
36		378	
30		408	
34		362	
13		564	
17		524	
7		89	
1		538	
20		638	
13		595	
31		740	
44		742	
49		502	
21		217	
23		490	
36		550	
0		836	
49		257	
43		101	
17		838	
32		1035	
9		504	
41		104	
34		2	
2		1045	
10		724	
4		650	
17		593	
29		87	
11		515	
35		845	
19		485	
7		474	
3		221	
39		627	
37		729	
43		408	
6		761	
3		567	
0		816	
41		18	
39		512	
9		748	
38		921	
9		784	
12		937	
23		533	
23		601	
9		763	
42		419	
46		930	
3		456	
1		993	
32		822	
17		451	
19		228	
3		787	
40		549	
14		71	
46		275	
41		734	
38		723	
39		610	
7		472	
9		81	
14		714	
4		787	
44		827	
13		525	
12		822	
14		597	
28		501	
0		702	
9		966	
47		343	
11		777	
37		993	
26		123	
32		471	
15		617	
4		271	
37		879	
1		179	
31		741	
42		819	
30		785	
6		420	
11		189	
37		628	
0		655	
18		1065	
21		515	
30		491	
8		241	
3		1068	
17		408	
36		331	
43		606	
14		24	
36		198	
13		275	
23		776	
28		1028	
16		140	
11		890	
45		187	
36		581	
9		128	
6		724	
47		548	
37		765	
34		73	
16		525	
41		921	
19		899	
0		941	
19		589	
26		970	
32		846	
28		287	
43		510	
32		654	
30		956	
14		641	
9		180	
2		243	
46		522	
37		975	
41		999	
2		228	
8		396	
35		1067	
16		192	
40		614	
5		164	
43		572	
31		378	
38		14	
28		772	
25		898	
7		98	
35		886	
37		218	
14		966	
31		186	
3		702	
31		404	
46		455	
0		793	
2		189	
10		361	
11		38	
37		421	
49		451	
16		697	
43		622	
49		825	
14		764	
47		751	
14		593	
38		55	
8		288	
11		576	
15		561	
38		113	
13		726	
5		133	
4		414	
0		658	
0		328	
13		352	
49		395	
14		838	
33		542	
6		291	
43		732	
47		520	
36		432	
42		481	
15		589	
5		1002	
46		666	
49		330	
29		526	
34		426	
16		1011	
30		97	
0		829	
17		1030	
39		1061	
39		1055	
23		724	
15		192	
3		482	
0		596	
40		21	
41		793	
11		591	
14		131	
0		30	
23		808	
15		28	
3		902	
46		734	
35		635	
27		370	
14		251	
33		557	
28		190	
36		714	
0		739	
16		945	
7		594	
8		592	
27		627	
9		906	
40		839	
9		517	
11		178	
2		178	
1		626	
34		179	
24		159	
32		869	
31		721	
8		719	
23		713	
16		1033	
0		488	
46		527	
0		957	
13		859	
21		936	
44		289	
36		217	
35		502	
31		891	
27		354	
17		310	
36		701	
44		511	
32		501	
6		434	
39		639	
41		72	
49		116	
40		568	
36		130	
39		622	
41		472	
11		712	
31		699	
4		898	
9		415	
13		797	
30		298	
49		777	
23		438	
6		197	
25		909	
19		768	
37		124	
39		396	
9		698	
3		461	
46		953	
36		853	
17		0	
33		916	
36		542	
2		290	
36		987	
25		835	
17		473	
35		19	
40		77	
2		363	
23		449	
13		563	
23		361	
6		642	
46		80	
37		699	
49		188	
0		954	
49		952	
31		461	
22		95	
14		120	
15		908	
31		988	
35		653	
7		1021	
4		67	
7		942	
15		266	
3		925	
49		980	
9		431	
10		134	
4		501	
41		1034	
22		1012	
24		75	
30		219	
2		2	
37		466	
7		554	
40		960	
18		69	
0		605	
34		873	
11		478	
37		993	
40		508	
6		1001	
46		225	
3		670	
28		627	
2		359	
35		589	
12		968	
49		296	
19		687	
39		813	
23		1006	
30		1025	
1		786	
4		980	
15		490	
10		553	
3		467	
29		982	
36		566	
9		468	
14		787	
47		240	
19		416	
7		244	
7		877	
19		793	
47		750	
49		700	
43		206	
41		287	
43		782	
17		557	
4		411	
41		159	
30		79	
23		488	
49		841	
49		571	
39		921	
32		439	
2		149	
39		787	
38		648	
34		54	
47		997	
8		343	
41		446	
13		337	
7		117	
29		414	
37		18	
47		87	
15		529	
46		612	
33		125	
42		927	
0		737	
30		884	
29		843	
0		902	
6		120	
23		695	
39		285	
36		22	
3		425	
13		140	
0		977	
17		148	
43		57	
14		161	
36		661	
1		434	
11		792	
31		611	
14		510	
36		896	
22		522	
23		234	
11		649	
43		725	
28		656	
3		642	
10		607	
39		942	
49		1023	
43		227	
28		300	
3		537	
40		849	
32		198	
30		682	
37		161	
43		387	
46		121	
47		12	
10		428	
37		438	
35		316	
36		338	
7		299	
28		153	
32		674	
32		452	
4		820	
30		490	
17		116	
42		340	
36		14	
0		731	
0		773	
36		206	
19		827	
49		77	
16		447	
10		335	
30		756	
28		735	
49		174	
28		959	
3		932	
3		905	
31		450	
28		346	
39		924	
29		119	
33		89	
49		600	
36		1062	
0		397	
30		155	
47		586	
0		201	
28		575	
16		92	
49		158	
29		960	
44		957	
11		371	
10		984	
38		214	
0		1056	
4		48	
39		916	
15		94	
15		627	
7		837	
